case_id,order_index,order,N,rep,seed,estimate,error,abs_error,runtime_s
gaussian_rectangle_d5,4,4-3-2,1024,8,1830009,0.12615710092709362,-3.2303980946335464e-6,3.2303980946335464e-6,0.007372333
gaussian_rectangle_d5,1,2-3-4,1024,9,1830010,0.1261600694039345,-2.6192125374135955e-7,2.6192125374135955e-7,0.007449125
gaussian_rectangle_d5,2,3-2-4,1024,9,1830010,0.12616272285915983,2.3915339715796513e-6,2.3915339715796513e-6,0.007366583
gaussian_rectangle_d5,3,3-4-2,1024,9,1830010,0.12615865214541272,-1.6791797755322246e-6,1.6791797755322246e-6,0.00735025
gaussian_rectangle_d5,4,4-3-2,1024,9,1830010,0.12615967414836324,-6.571768250140941e-7,6.571768250140941e-7,0.007354125
gaussian_rectangle_d5,1,2-3-4,1024,10,1830011,0.12616044181042546,1.1048523720913472e-7,1.1048523720913472e-7,0.007454792
gaussian_rectangle_d5,2,3-2-4,1024,10,1830011,0.12616140646025586,1.0751350676130311e-6,1.0751350676130311e-6,0.007694667
gaussian_rectangle_d5,3,3-4-2,1024,10,1830011,0.12616266947309818,2.338147909924926e-6,2.338147909924926e-6,0.007592625
gaussian_rectangle_d5,4,4-3-2,1024,10,1830011,0.12616155726115405,1.2259359657984525e-6,1.2259359657984525e-6,0.007594333
gaussian_rectangle_d5,1,2-3-4,1024,11,1830012,0.12615214570286548,-8.185622322770536e-6,8.185622322770536e-6,0.0075905
gaussian_rectangle_d5,2,3-2-4,1024,11,1830012,0.12615433734139414,-5.993983794111424e-6,5.993983794111424e-6,0.007606708
gaussian_rectangle_d5,3,3-4-2,1024,11,1830012,0.12615399081742856,-6.340507759688974e-6,6.340507759688974e-6,0.007552375
gaussian_rectangle_d5,4,4-3-2,1024,11,1830012,0.12615315756042128,-7.17376476697118e-6,7.17376476697118e-6,0.007622083
gaussian_rectangle_d5,1,2-3-4,1024,12,1830013,0.12615173512191558,-8.596203272676073e-6,8.596203272676073e-6,0.008825584
gaussian_rectangle_d5,2,3-2-4,1024,12,1830013,0.12615106862313866,-9.262702049595006e-6,9.262702049595006e-6,0.007415208
gaussian_rectangle_d5,3,3-4-2,1024,12,1830013,0.1261526993264252,-7.631998763052428e-6,7.631998763052428e-6,0.007316167
gaussian_rectangle_d5,4,4-3-2,1024,12,1830013,0.1261536624900088,-6.668835179440835e-6,6.668835179440835e-6,0.007321958
gaussian_rectangle_d5,1,2-3-4,1024,13,1830014,0.126161818858508,1.4875333197439389e-6,1.4875333197439389e-6,0.00749375
gaussian_rectangle_d5,2,3-2-4,1024,13,1830014,0.12615981329466094,-5.180305273078112e-7,5.180305273078112e-7,0.007368459
gaussian_rectangle_d5,3,3-4-2,1024,13,1830014,0.12616252866642394,2.197341235687933e-6,2.197341235687933e-6,0.007478541
gaussian_rectangle_d5,4,4-3-2,1024,13,1830014,0.12616568294632322,5.351621134963569e-6,5.351621134963569e-6,0.007316667
gaussian_rectangle_d5,1,2-3-4,1024,14,1830015,0.1261553234138777,-5.007911310556112e-6,5.007911310556112e-6,0.007298792
gaussian_rectangle_d5,2,3-2-4,1024,14,1830015,0.12615499135259983,-5.3399725884195615e-6,5.3399725884195615e-6,0.007362458
gaussian_rectangle_d5,3,3-4-2,1024,14,1830015,0.1261573562136758,-2.9751115124543315e-6,2.9751115124543315e-6,0.007544459
gaussian_rectangle_d5,4,4-3-2,1024,14,1830015,0.12615575180281616,-4.57952237209458e-6,4.57952237209458e-6,0.0073965
gaussian_rectangle_d5,1,2-3-4,1024,15,1830016,0.12615250684526835,-7.824479919898986e-6,7.824479919898986e-6,0.007463167
gaussian_rectangle_d5,2,3-2-4,1024,15,1830016,0.12615459352606373,-5.737799124522214e-6,5.737799124522214e-6,0.0074495
gaussian_rectangle_d5,3,3-4-2,1024,15,1830016,0.12615629958191352,-4.031743274734989e-6,4.031743274734989e-6,0.00747375
gaussian_rectangle_d5,4,4-3-2,1024,15,1830016,0.1261560070660594,-4.324259128857255e-6,4.324259128857255e-6,0.007532583
gaussian_rectangle_d5,1,2-3-4,1024,16,1830017,0.126160059720698,-2.7160449025953604e-7,2.7160449025953604e-7,0.007994208
gaussian_rectangle_d5,2,3-2-4,1024,16,1830017,0.1261607345905147,4.0326532643741864e-7,4.0326532643741864e-7,0.007633458
gaussian_rectangle_d5,3,3-4-2,1024,16,1830017,0.12616202875261176,1.697427423508202e-6,1.697427423508202e-6,0.008454458
gaussian_rectangle_d5,4,4-3-2,1024,16,1830017,0.12616106618414738,7.348589591282817e-7,7.348589591282817e-7,0.007484292
