event,d,N,rep,seed,method,estimate,runtime_s,bytes,allocations,hfunc_calls,hinv_calls,pair_cdf_calls
joint_lower_10pct,10,4096,15,20380920,current_indicator,0.00390625,0.061001375,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,15,20380920,reduced_conditional,0.004398644763692517,0.143375333,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,16,20380921,current_indicator,0.004638671875,0.062131625,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,16,20380921,reduced_conditional,0.004407262105567168,0.14330075,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,17,20380922,current_indicator,0.004638671875,0.061897875,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,17,20380922,reduced_conditional,0.004409374274705556,0.143518,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,18,20380923,current_indicator,0.0048828125,0.06176575,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,18,20380923,reduced_conditional,0.004406064220606313,0.143070208,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,19,20380924,current_indicator,0.00390625,0.061604166,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,19,20380924,reduced_conditional,0.004404299616165118,0.143021542,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,20,20380925,current_indicator,0.00341796875,0.061645709,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,20,20380925,reduced_conditional,0.004404921476918598,0.14303925,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,21,20380926,current_indicator,0.0048828125,0.062219542,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,21,20380926,reduced_conditional,0.004407027768708405,0.143596542,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,22,20380927,current_indicator,0.00439453125,0.26955125,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,22,20380927,reduced_conditional,0.004400834207720033,0.142071208,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,23,20380928,current_indicator,0.0029296875,0.0610545,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,23,20380928,reduced_conditional,0.004404253736291733,0.142227917,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,24,20380929,current_indicator,0.0048828125,0.061119042,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,24,20380929,reduced_conditional,0.00440693730779786,0.143549625,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,25,20380930,current_indicator,0.004150390625,0.060919875,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,25,20380930,reduced_conditional,0.004408012840998689,0.142198708,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,26,20380931,current_indicator,0.003662109375,0.060997,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,26,20380931,reduced_conditional,0.004398750541734304,0.143286458,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,27,20380932,current_indicator,0.005126953125,0.060762,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,27,20380932,reduced_conditional,0.004408585001263134,0.143106291,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,28,20380933,current_indicator,0.004150390625,0.060968833,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,28,20380933,reduced_conditional,0.004407814856168405,0.145639125,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,29,20380934,current_indicator,0.005126953125,0.060088625,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,29,20380934,reduced_conditional,0.004412577295841977,0.1422985,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,30,20380935,current_indicator,0.003173828125,0.06271225,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,30,20380935,reduced_conditional,0.004412596588967086,0.143576917,32820032,748,360448,114688,4096
central_25_75_rectangle,10,256,1,20340906,current_indicator,0.01953125,0.004141083,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,1,20340906,reduced_conditional,0.022388400509457736,0.012249,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,2,20340907,current_indicator,0.04296875,0.004018875,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,2,20340907,reduced_conditional,0.022419666930318768,0.011212375,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,3,20340908,current_indicator,0.02734375,0.0039815,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,3,20340908,reduced_conditional,0.022451028327247467,0.011183625,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,4,20340909,current_indicator,0.03125,0.004021875,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,4,20340909,reduced_conditional,0.02242624075320742,0.011433792,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,5,20340910,current_indicator,0.0078125,0.004168583,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,5,20340910,reduced_conditional,0.0224272532576863,0.012137542,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,6,20340911,current_indicator,0.0234375,0.004025792,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,6,20340911,reduced_conditional,0.022382067740249128,0.011157625,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,7,20340912,current_indicator,0.015625,0.003955542,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,7,20340912,reduced_conditional,0.02242003311984234,0.01117225,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,8,20340913,current_indicator,0.0234375,0.003933667,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,8,20340913,reduced_conditional,0.022408997574359338,0.011163542,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,9,20340914,current_indicator,0.046875,0.003934875,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,9,20340914,reduced_conditional,0.02247497605503934,0.011930625,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,10,20340915,current_indicator,0.0078125,0.003935125,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,10,20340915,reduced_conditional,0.022465855452996245,0.0111285,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,11,20340916,current_indicator,0.02734375,0.003915416,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,11,20340916,reduced_conditional,0.02238878355223965,0.011129,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,12,20340917,current_indicator,0.03515625,0.003919959,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,12,20340917,reduced_conditional,0.022454469874554402,0.011118167,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,13,20340918,current_indicator,0.01171875,0.004709167,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,13,20340918,reduced_conditional,0.02238089187340646,0.011163792,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,14,20340919,current_indicator,0.02734375,0.0039835,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,14,20340919,reduced_conditional,0.02236750096691327,0.011153041,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,15,20340920,current_indicator,0.01953125,0.003971542,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,15,20340920,reduced_conditional,0.022400861270707742,0.011159166,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,16,20340921,current_indicator,0.02734375,0.004000584,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,16,20340921,reduced_conditional,0.022436075740881127,0.012023542,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,17,20340922,current_indicator,0.0234375,0.003953209,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,17,20340922,reduced_conditional,0.02238636228934985,0.011146542,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,18,20340923,current_indicator,0.01171875,0.003923792,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,18,20340923,reduced_conditional,0.022394605228301293,0.011191709,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,19,20340924,current_indicator,0.015625,0.003938417,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,19,20340924,reduced_conditional,0.02238643527397845,0.011156917,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,20,20340925,current_indicator,0.05078125,0.00489375,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,20,20340925,reduced_conditional,0.022435955715322732,0.011173459,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,21,20340926,current_indicator,0.0234375,0.003944875,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,21,20340926,reduced_conditional,0.022428539916615597,0.011116959,2245408,650,33792,7168,1024
