case_id,d,conditioning_dimension,rho,event,rule,N,rep,seed,method,estimate,reference,abs_error,generation_time_s,evaluation_time_s,total_runtime_s,generation_bytes,evaluation_bytes,generation_allocations,evaluation_allocations,hfunc_calls,hinv_calls,pair_cdf_calls
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,22,20840773,reduced_conditional,0.556555935369851,0.5547860119171046,0.0017699234527464025,0.004934208,0.025315791,0.030249999,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,23,20840774,reduced_conditional,0.5539858359679533,0.5547860119171046,0.0008001759491513827,0.005661,0.025110334,0.030771334,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,24,20840775,reduced_conditional,0.5548097051163364,0.5547860119171046,2.369319923178903e-5,0.004820333,0.025206416,0.030026749,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,25,20840776,reduced_conditional,0.5548631102647629,0.5547860119171046,7.70983476582332e-5,0.005513083,0.025227375,0.030740458,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,26,20840777,reduced_conditional,0.5549300588157,0.5547860119171046,0.00014404689859537356,0.005372,0.025122042,0.030494042,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,27,20840778,reduced_conditional,0.5551220183807889,0.5547860119171046,0.00033600646368425746,0.004808792,0.025030333,0.029839124999999998,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,28,20840779,reduced_conditional,0.5552100193472272,0.5547860119171046,0.0004240074301226082,0.005342292,0.025030792,0.030373084,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,29,20840780,reduced_conditional,0.5552820150636687,0.5547860119171046,0.0004960031465640613,0.005222458,0.0250505,0.030272958,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,30,20840781,reduced_conditional,0.5556117774403794,0.5547860119171046,0.0008257655232747352,0.004837125,0.025058458,0.029895583,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,1,20917552,current_indicator,0.5439453125,0.5547860119171046,0.010840699417104638,0.020363834,0.106965709,0.12732954300000002,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,2,20917553,current_indicator,0.544921875,0.5547860119171046,0.009864136917104638,0.020698542,0.11363575,0.134334292,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,3,20917554,current_indicator,0.560546875,0.5547860119171046,0.005760863082895362,0.019824666,0.104365125,0.12418979100000001,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,4,20917555,current_indicator,0.55859375,0.5547860119171046,0.003807738082895362,0.02048075,0.103942708,0.12442345799999999,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,5,20917556,current_indicator,0.552734375,0.5547860119171046,0.002051636917104638,0.019955209,0.104378667,0.124333876,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,6,20917557,current_indicator,0.5478515625,0.5547860119171046,0.006934449417104638,0.019571209,0.103411958,0.122983167,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,7,20917558,current_indicator,0.5595703125,0.5547860119171046,0.004784300582895362,0.019767292,0.104250042,0.124017334,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,8,20917559,current_indicator,0.5390625,0.5547860119171046,0.015723511917104638,0.019990458,0.104746,0.12473645800000001,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,9,20917560,current_indicator,0.5546875,0.5547860119171046,9.85119171046378e-5,0.021257708,0.105635125,0.12689283299999998,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,10,20917561,current_indicator,0.5654296875,0.5547860119171046,0.010643675582895362,0.020492875,0.107789958,0.128282833,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,11,20917562,current_indicator,0.560546875,0.5547860119171046,0.005760863082895362,0.020701625,0.105753917,0.126455542,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,12,20917563,current_indicator,0.5439453125,0.5547860119171046,0.010840699417104638,0.020784208,0.106027541,0.126811749,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,13,20917564,current_indicator,0.5498046875,0.5547860119171046,0.004981324417104638,0.036449916,0.108707042,0.145156958,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,14,20917565,current_indicator,0.5595703125,0.5547860119171046,0.004784300582895362,0.02047175,0.120686667,0.141158417,20791168,3176736,1741,2683,NaN,NaN,NaN
