case_id,d,event,dependence,method,N_or_maxpts,replicate,seed,estimate,reference,abs_error,runtime_s,internal_error,inform,algorithm,nshifts
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,5,271832,0.1261615148321589,0.12616033132518825,1.1835069706478407e-6,0.030805208,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,5,729832,0.126159727873225,0.12616033132518825,6.034519632602819e-7,0.000733375,1.8949118160469406e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,5,271832,0.125732421875,0.12616033132518825,0.0004279094501882519,0.027671375,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,6,729833,0.12615983573167588,0.12616033132518825,4.955935123673871e-7,0.000733625,1.5115671171613129e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,6,271833,0.127685546875,0.12616033132518825,0.0015252155498117481,0.0281695,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,6,271833,0.12616055701242598,0.12616033132518825,2.256872377315311e-7,0.038898167,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,7,271834,0.1259765625,0.12616033132518825,0.00018376882518825188,0.028070875,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,7,271834,0.12615924435900372,0.12616033132518825,1.086966184532523e-6,0.031428416,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,7,729834,0.12616061805126813,0.12616033132518825,2.867260798788962e-7,0.000719959,1.4030652160809223e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,8,271835,0.12616045384755256,0.12616033132518825,1.2252236430976282e-7,0.031094458,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,8,729835,0.1261605060991905,0.12616033132518825,1.7477400224286121e-7,0.000719291,1.4681158509521701e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,8,271835,0.12548828125,0.12616033132518825,0.0006720500751882519,0.028611417,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,9,729836,0.12616162730508168,0.12616033132518825,1.295979893428667e-6,0.000706917,1.6318069414056098e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,9,271836,0.128662109375,0.12616033132518825,0.002501778049811748,0.02628925,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,9,271836,0.12616081339997168,0.12616033132518825,4.820747834255457e-7,0.030137917,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,10,271837,0.125732421875,0.12616033132518825,0.0004279094501882519,0.028724833,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,10,271837,0.12616025431347236,0.12616033132518825,7.701171589324929e-8,0.030254375,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,10,729837,0.12615932342411398,0.12616033132518825,1.0079010742680694e-6,0.000722,1.0906139678732551e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,11,271838,0.12615942336183733,0.12616033132518825,9.079633509212481e-7,0.030371583,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,11,729838,0.1261621745506695,0.12616033132518825,1.843225481246158e-6,0.000722458,1.40211459672714e-6,1,mvsort_rqmc,10
